-- chat_messages --
id | sender_id | receiver_id | message_type | content | created_at | is_read | is_direct_message
------------------------------------------------------------------------------------------------
1 | 5 | None | CHAT | аыуауыа | 2025-06-16 15:28:33.622739 | 0 | 0
2 | 5 | None | CHAT | Привет | 2025-06-16 15:28:44.798546 | 0 | 0
3 | 5 | None | CHAT | я вася | 2025-06-16 15:28:48.738624 | 0 | 0
4 | 5 | None | CHAT | привет | 2025-06-16 15:28:57.749774 | 0 | 0
5 | 5 | None | CHAT | ауууау | 2025-06-16 15:29:42.709244 | 0 | 0
6 | 5 | None | CHAT | to lemure5: ауауы | 2025-06-16 15:37:41.257524 | 0 | 0
7 | 5 | None | CHAT | аыау | 2025-06-16 15:51:18.477193 | 0 | 0
8 | 5 | None | CHAT | to lemure5: fdefe | 2025-06-16 15:53:52.878168 | 0 | 0
9 | 5 | None | CHAT | синий | 2025-06-16 15:54:01.784061 | 0 | 0
10 | 5 | None | CHAT | ауыа | 2025-06-16 16:08:45.710392 | 0 | 0
11 | 5 | None | CHAT | аувау | 2025-06-16 16:09:17.646051 | 0 | 0
12 | 5 | None | CHAT | to lemure5: ауа | 2025-06-16 16:10:52.069900 | 0 | 0
13 | 5 | None | CHAT | to lemure5: Привет | 2025-06-16 16:21:00.330684 | 0 | 0
14 | 5 | None | CHAT | to lemure5: ghbdt | 2025-06-16 16:21:24.108504 | 0 | 0
15 | 5 | None | CHAT | to lemure5: аааааа | 2025-06-16 16:22:02.766961 | 0 | 0
16 | 5 | None | CHAT | Здрастьте  | 2025-06-16 16:24:23.656021 | 0 | 0
17 | 5 | None | CHAT | to lemure5: проверка самому себе  | 2025-06-16 16:24:29.226786 | 0 | 0
18 | 6 | None | CHAT | to lemure5: fgedshfesiohf | 2025-06-16 16:25:54.695288 | 0 | 0
19 | 6 | None | CHAT | to lemure5: 545 | 2025-06-16 17:38:45.431538 | 0 | 0
20 | 6 | None | CHAT | to lemure6: 4443 | 2025-06-16 17:39:21.739163 | 0 | 0
21 | 5 | None | CHAT | to lemure5: 444 | 2025-06-16 17:39:35.602786 | 0 | 0
22 | 5 | None | CHAT | to lemure6: 2222 | 2025-06-16 17:39:38.649973 | 0 | 0
23 | 6 | None | CHAT | to lemure6: fefes | 2025-06-16 17:40:33.694412 | 0 | 0
24 | 6 | None | CHAT | to lemure5: fefef | 2025-06-16 17:40:37.269873 | 0 | 0
25 | 6 | None | CHAT | to lemure5: хай махафакер | 2025-06-17 06:43:08.189611 | 0 | 0
26 | 6 | None | CHAT | to lemure5: чееел | 2025-06-17 06:54:57.830737 | 0 | 0
27 | 5 | None | CHAT | to lemure5: авыаыу  | 2025-06-17 06:55:16.404994 | 0 | 0
28 | 5 | None | CHAT | to lemure8: ку  | 2025-06-17 06:55:25.590378 | 0 | 0
29 | 5 | None | CHAT | to lemure5 ку  | 2025-06-17 06:55:36.411180 | 0 | 0
30 | 5 | None | CHAT | пвкпк | 2025-06-17 06:55:51.941794 | 0 | 0
31 | 5 | None | CHAT | мазафакеры | 2025-06-17 06:55:56.545008 | 0 | 0
32 | 7 | None | CHAT | пквуп | 2025-06-18 07:54:18.996237 | 0 | 0
33 | 7 | None | CHAT | куку | 2025-06-18 07:54:21.070085 | 0 | 0
34 | 7 | None | CHAT | аыуаыу | 2025-06-18 07:54:36.592902 | 0 | 0
35 | 7 | None | CHAT | ауыа | 2025-06-18 07:54:37.740062 | 0 | 0
36 | 7 | None | CHAT | ауыа | 2025-06-19 13:04:45.999665 | 0 | 0
37 | 7 | None | CHAT | аыуа | 2025-06-19 13:10:28.808937 | 0 | 0
38 | 7 | None | CHAT | пыуп | 2025-06-19 14:56:17.613684 | 0 | 0
39 | 7 | None | CHAT | аыуауы | 2025-06-19 15:11:43.051559 | 0 | 0
40 | 7 | None | CHAT | астп | 2025-06-19 18:43:24.858288 | 0 | 0
41 | 7 | None | CHAT | ауа | 2025-06-21 10:29:44.965533 | 0 | 0
42 | 7 | None | CHAT | ку | 2025-06-21 10:29:46.909356 | 0 | 0
43 | 32 | None | CHAT | ауыа | 2025-06-21 12:17:38.784327 | 0 | 0
44 | 32 | None | CHAT | to lemure9: 11 | 2025-06-21 12:23:33.351974 | 0 | 0
45 | 37 | None | CHAT | ку  | 2025-06-27 11:21:24.835529 | 0 | 0
46 | 37 | None | CHAT | педики | 2025-06-27 11:21:31.388669 | 0 | 0
47 | 37 | None | CHAT | fvd | 2025-06-27 22:41:39.919574 | 0 | 0
48 | 37 | None | CHAT | аыуа | 2025-06-28 13:07:21.166234 | 0 | 0

-- currencies --
id | code | name_ru | base_copper
---------------------------------
1 | COPPER | Медь | 1
2 | SILVER | Серебро | 10
3 | GOLD | Золото | 1000
4 | TESSER | Тессера | 0

-- equipment_slots --
id | code | name_ru | max_per_char
----------------------------------
1 | weapon_main | Правая рука | 1
2 | weapon_off | Левая рука | 1
3 | helmet | Шлем | 1
4 | ring1 | Кольцо 1 | 1
5 | ring2 | Кольцо 2 | 1
6 | armor | Броня | 1
7 | shirt | Рубаха | 1
8 | belt | Пояс | 1
9 | bracelet | Браслет | 1
10 | cloak | Плащ | 1
11 | boots | Сапоги | 1
12 | gloves | Перчатки | 1

-- item_categories --
id | code | name_ru
-------------------
1 | weapon | Оружие
2 | armor | Доспехи
3 | magic | Магия
4 | gift | Подарки/Разное

-- item_effects --
item_id | stat | amount
-----------------------
1 | agility | 2
1 | strength | 1
3 | agility | 1
3 | intuition | 1
5 | power | 2
5 | strength | 1
6 | power | 1
6 | intuition | 1
7 | strength | 3
8 | strength | 2
8 | intuition | 1
9 | power | 2
9 | strength | 2
10 | strength | 1
10 | intuition | 1
11 | agility | 2
11 | strength | 1
12 | agility | 2
12 | intuition | 1
14 | dummy | 0
14 | agility | 2
14 | intuition | 1
14 | hp | 20
15 | dummy | 0
15 | strength | 2
15 | intuition | 1
15 | hp | 50
16 | dummy | 0
16 | power | 1
16 | intuition | 2
16 | hp | 30
17 | agility | 2
17 | intuition | 1
17 | hp | 5
18 | strength | 2
18 | intuition | 1
18 | hp | 15
19 | power | 2
19 | intuition | 1
19 | hp | 10
20 | agility | 1
20 | intuition | 1
21 | strength | 1
21 | hp | 5
22 | power | 1
22 | intuition | 1
23 | agility | 1
23 | intuition | 1
24 | strength | 1
24 | hp | 5
25 | power | 2
26 | agility | 2
27 | strength | 1
27 | hp | 5
28 | power | 1
28 | intuition | 1
29 | agility | 2
30 | strength | 1
30 | hp | 5
31 | power | 1
31 | intuition | 1
32 | agility | 2
32 | intuition | 1
33 | power | 2
33 | strength | 2
34 | strength | 4

-- item_groups --
id | category_id | code | name_ru
---------------------------------
1 | 1 | dagger | Кинжалы
2 | 1 | sword | Мечи
3 | 1 | club | Дубины
4 | 1 | axe | Топоры
5 | 1 | spear | Копья
6 | 1 | bow | Луки
7 | 1 | crossbow | Арбалеты
8 | 1 | arrows | Стрелы
9 | 1 | bolts | Болты
10 | 1 | slings | Рогатки
11 | 2 | helmet | Шлемы
12 | 2 | shirt | Рубахи
13 | 2 | armor | Броня
14 | 2 | belt | Пояса
15 | 2 | bracelet | Браслеты
16 | 2 | cloak | Плащи
17 | 2 | boots | Сапоги
18 | 2 | gloves | Перчатки
19 | 2 | ring | Кольца
20 | 2 | ring_unique | Уникальные кольца
21 | 2 | shield | Щиты
22 | 4 | gear_common | Снаряжения
23 | 4 | gear_box | Короба
24 | 4 | gear_hunt | Снаряж. для охоты
25 | 4 | flowers | Цветы
26 | 4 | toys | Игрушки
27 | 4 | postcards | Открытки
28 | 4 | various | Разное
29 | 3 | scroll_combat | Боевые свитки
30 | 3 | potion | Зелья
31 | 3 | magic_misc | Прочая магия

-- item_types --
id | code | name_ru
-------------------
1 | weapon | Оружие
2 | armor | Броня
3 | accessory | Аксессуар

-- items --
id | name | item_type_id | weapon_type_id | icon | weight | stackable | base_stats_json | created_at | group_id | price_copper | rarity | min_level | max_durability | sellable | tradable | description | hand_type | two_handed
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1 | Кровавый клинок | 1 | 1 | /icons/items/bloody_dagger.png | 1.2 | 0 | {"dmg_min": 1, "dmg_max": 3} | 2025-06-22 07:11:13 | 1 | 100 | 1 | 1 | 20 | 1 | 0 | Острие напитано кровью. Удобен для быстрых атак. | LIGHT | 0
3 | Тихий укол | 1 | 1 | /icons/items/silent_stab.png | 1.0 | 0 | {"dmg_min": 1, "dmg_max": 2} | 2025-06-22 07:13:00 | 1 | 70 | 1 | 1 | 15 | 1 | 0 | Лёгкий и незаметный. Идеален для второй руки. | LIGHT | 0
5 | Треснувший гладиус | 1 | 2 | /icons/items/cracked_gladius.png | 3.5 | 0 | {"dmg_min": 2, "dmg_max": 5} | 2025-06-22 07:14:33 | 2 | 160 | 1 | 1 | 30 | 1 | 0 | Несмотря на трещину, способен пробить любую защиту. | HEAVY | 0
6 | Осколок шпаги | 1 | 1 | /icons/items/blade_fragment.png | 2.0 | 0 | {"dmg_min": 1, "dmg_max": 3} | 2025-06-22 07:15:04 | 2 | 90 | 1 | 1 | 20 | 1 | 0 | Слишком лёгкий для основной руки, но опасен в быстрой. | LIGHT | 0
7 | Щербатая булава | 1 | 2 | /icons/items/dented_mace.png | 4.5 | 0 | {"dmg_min": 3, "dmg_max": 5} | 2025-06-22 07:16:26 | 3 | 170 | 1 | 1 | 35 | 1 | 0 | Убивает не остротой, а весом. | HEAVY | 0
8 | Железный жезл | 1 | 2 | /icons/items/iron_rod.png | 3.0 | 0 | {"dmg_min": 2, "dmg_max": 4} | 2025-06-22 07:16:46 | 3 | 120 | 1 | 1 | 30 | 1 | 0 | Простой, но надёжный кусок металла. | HEAVY | 0
9 | Кровавый топор | 1 | 2 | /icons/items/bloody_axe.png | 4.0 | 0 | {"dmg_min": 3, "dmg_max": 6} | 2025-06-22 07:17:44 | 4 | 200 | 1 | 1 | 35 | 1 | 0 | Жаден до крови. Затачивается об плоть. | HEAVY | 0
10 | Топор грабителя | 1 | 1 | /icons/items/raider_axe.png | 2.5 | 0 | {"dmg_min": 2, "dmg_max": 4} | 2025-06-22 07:18:17 | 4 | 110 | 1 | 1 | 25 | 1 | 0 | Компактный, идеален для второй руки. | LIGHT | 0
